       0 686769732723871.50000 781343174.03409 686770514067045.50000
      10 686769732723871.25000   -0.11107 686769732723871.12500
     370 686769732723871.25000   -0.13147 686769732723871.12500
     380 686769732723871.00000   -0.13250 686769732723870.87500
     390 686769732723871.25000   -0.13358 686769732723871.12500
     400 686769732723871.25000   -0.13469 686769732723871.12500
     410 686769732723871.37500   -0.13585 686769732723871.25000
     420 686769732723871.12500   -0.13706 686769732723871.00000
     430 686769732723871.37500   -0.13831 686769732723871.25000
     440 686769732723871.25000   -0.13961 686769732723871.12500
     450 686769732723871.25000   -0.14096 686769732723871.12500
     460 686769732723871.25000   -0.14237 686769732723871.12500
     470 686769732723871.37500   -0.14384 686769732723871.25000
     480 686769732723871.37500   -0.14537 686769732723871.25000
     490 686769732723871.37500   -0.14697 686769732723871.25000
     500 686769732723871.25000   -0.14863 686769732723871.12500
     510 686769732723871.00000   -0.15038 686769732723870.87500
     520 686769732723871.37500   -0.15220 686769732723871.25000
     530 686769732723871.25000   -0.15410 686769732723871.12500
     540 686769732723871.25000   -0.15609 686769732723871.12500
     550 686769732723871.37500   -0.15818 686769732723871.25000
     560 686769732723871.25000   -0.16037 686769732723871.12500
     570 686769732723871.62500   -0.16267 686769732723871.50000
     580 686769732723871.25000   -0.16508 686769732723871.12500
     590 686769732723871.37500   -0.16761 686769732723871.25000
     600 686769732723871.25000   -0.17026 686769732723871.12500
     610 686769732723871.12500   -0.17305 686769732723871.00000
     620 686769732723871.50000   -0.17596 686769732723871.37500
     630 686769732723871.25000   -0.17901 686769732723871.12500
     640 686769732723871.37500   -0.18218 686769732723871.25000
     650 686769732723871.12500   -0.18546 686769732723871.00000
     660 686769732723871.25000   -0.18884 686769732723871.12500
     670 686769732723871.25000   -0.19228 686769732723871.00000
     680 686769732723871.37500   -0.19572 686769732723871.12500
     690 686769732723871.25000   -0.19910 686769732723871.00000
     700 686769732723871.25000   -0.20235 686769732723871.00000
     710 686769732723871.62500   -0.20540 686769732723871.37500
     720 686769732723871.50000   -0.20824 686769732723871.25000
     730 686769732723871.25000   -0.21096 686769732723871.00000
     740 686769732723871.12500   -0.21382 686769732723870.87500
     750 686769732723871.37500   -0.21715 686769732723871.12500
     760 686769732723871.25000   -0.22125 686769732723871.00000
     770 686769732723871.12500   -0.22618 686769732723870.87500
     780 686769732723871.25000   -0.23163 686769732723871.00000
     790 686769732723871.25000   -0.23704 686769732723871.00000
     800 686769732723871.50000   -0.24189 686769732723871.25000
     810 686769732723871.25000   -0.24588 686769732723871.00000
     820 686769732723871.25000   -0.24909 686769732723871.00000
     830 686769732723871.62500   -0.25198 686769732723871.37500
     840 686769732723871.50000   -0.25527 686769732723871.25000
     850 686769732723871.37500   -0.25964 686769732723871.12500
     860 686769732723871.62500   -0.26540 686769732723871.37500
     870 686769732723871.12500   -0.27241 686769732723870.87500
     880 686769732723871.50000   -0.28023 686769732723871.25000
     890 686769732723871.37500   -0.28839 686769732723871.12500
     900 686769732723871.62500   -0.29646 686769732723871.37500
     910 686769732723871.37500   -0.30398 686769732723871.12500
     920 686769732723871.62500   -0.31037 686769732723871.37500
     930 686769732723871.50000   -0.31503 686769732723871.25000
     940 686769732723871.50000   -0.31757 686769732723871.25000
     950 686769732723871.50000   -0.31806 686769732723871.25000
     960 686769732723871.50000   -0.31716 686769732723871.25000
     970 686769732723871.75000   -0.31608 686769732723871.50000
     980 686769732723871.50000   -0.31631 686769732723871.25000
     990 686769732723871.50000   -0.31902 686769732723871.25000
    1000 686769732723871.75000   -0.32457 686769732723871.37500
    1010 686769732723871.62500   -0.33228 686769732723871.25000
    1020 686769732723871.75000   -0.34077 686769732723871.37500
    1030 686769732723871.75000   -0.34847 686769732723871.37500
    1040 686769732723871.62500   -0.35418 686769732723871.25000
    1050 686769732723871.50000   -0.35745 686769732723871.12500
    1060 686769732723871.75000   -0.35870 686769732723871.37500
    1070 686769732723871.62500   -0.35902 686769732723871.25000
    1080 686769732723872.00000   -0.35972 686769732723871.62500
    1090 686769732723871.62500   -0.36181 686769732723871.25000
    1100 686769732723871.75000   -0.36555 686769732723871.37500
    1110 686769732723871.62500   -0.37041 686769732723871.25000
    1120 686769732723871.37500   -0.37550 686769732723871.00000
    1130 686769732723871.75000   -0.38011 686769732723871.37500
    1140 686769732723871.50000   -0.38408 686769732723871.12500
    1150 686769732723871.87500   -0.38770 686769732723871.50000
    1160 686769732723871.50000   -0.39135 686769732723871.12500
