32.316520 32.316520 32.316520
   0.404    0.797   19.437    -0.542    1.072    1.445
  32.116    1.030   20.423     0.416    1.181    0.539
   0.266    1.219   21.430     0.034    0.611    0.542
  31.860    1.167   22.799     0.997   -0.554    0.659
   0.332    0.463   23.107    -0.050   -1.288   -0.683
   0.560    1.103   24.190     0.949    0.320   -0.291
   0.182    1.339   25.150    -1.439   -0.156   -1.299
  31.781    1.210   26.113    -0.084   -0.726   -2.187
   0.175    1.735   27.007    -1.167   -0.206   -0.825
  31.996    0.850   29.083    -0.794    0.869    0.024
  31.363    0.354   29.925    -1.493    0.053   -0.497
  31.496    1.063   30.808    -0.129   -0.361   -0.677
  32.116    1.384   31.928     0.605    2.570    2.672
   0.055    2.846    1.010    -0.304    0.681   -0.217
   0.178    2.656    2.318    -0.618    0.313    1.200
   0.293    2.094    3.665    -1.688   -0.353   -0.996
  32.001    2.400    4.403    -0.081   -0.933   -0.486
  31.970    2.075    5.496     1.899   -1.411   -0.106
   0.117    1.996    6.983    -1.269   -0.776   -0.500
   0.358    2.466    8.056     2.534    1.114    1.616
   0.373    2.200    8.992    -1.417    0.283   -0.063
  32.252    2.400   10.036     1.011    1.751   -0.975
  32.200    2.669   11.171     0.686    1.028   -0.611
   0.005    1.617   12.477     1.735   -0.564    0.956
   0.591    2.306   13.199     0.333    0.396    0.736
  32.038    2.641   14.085     0.522   -0.720   -0.599
   0.084    2.431   15.190     0.508   -0.152   -0.516
  32.189    2.013   16.231    -0.640   -0.841   -0.441
   0.121    2.744   16.989    -0.269    0.773   -0.980
   0.178    1.989   17.740     0.070   -1.021   -1.405
  32.186    1.966   18.834    -1.068    0.716    0.126
   0.154    1.806   19.903     0.708    0.010   -1.133
   0.456    2.742   21.747     0.412    1.567    1.115
   0.159    2.072   22.611     1.319   -0.212   -1.142
   0.709    1.678   23.429     1.003    1.124    0.273
  32.183    2.254   24.446    -1.595    0.111    1.334
   0.448    2.226   25.626    -0.337    1.856   -1.254
  32.274    2.668   26.510     1.973    2.089    0.738
  32.018    2.376   27.636    -1.300   -0.658   -1.171
  32.269    1.837   28.703    -0.185    1.106   -0.002
   0.064    1.550   29.767    -0.538   -0.001    0.115
   0.055    1.952   30.790     0.042   -0.541   -0.648
   0.248    2.689   32.171    -0.643    1.000   -0.041
  32.163    3.572    0.447     2.089    0.644    0.867
   0.059    3.604    1.749    -0.258    1.811   -0.184
  32.254    3.885    2.831    -0.019    0.466    0.312
   0.024    3.596    4.038    -0.177    1.743   -1.444
   0.208    3.431    5.292    -0.830   -0.293   -1.511
  32.267    2.678    6.216     0.943   -1.839    0.723
  31.986    3.029    7.549    -1.300   -0.677    0.208
   0.288    3.220    8.694     0.479   -0.377    0.949
   0.541    3.542    9.750     0.378    1.201   -0.628
  32.284    3.569   10.796     0.386   -1.602   -0.985
   0.166    2.575   12.228     1.123   -0.186   -0.060
   0.199    3.264   13.321     0.795   -1.129    0.247
  31.635    3.809   13.803    -0.039   -1.793   -0.375
  32.129    3.412   14.738    -0.652    1.445    0.964
   0.435    3.327   15.956    -0.152    0.421   -1.271
  31.980    3.565   16.749     1.208   -0.109   -0.102
   0.509    2.918   18.214     1.270   -1.487   -0.261
  31.924    3.018   19.230    -0.292   -0.379    0.316
  32.187    3.133   20.370     0.571    2.051    0.857
  31.792    3.149   21.571    -0.670    0.006    1.292
   0.061    3.151   22.670     0.969   -0.647    1.092
   0.153    3.554   24.006     1.724    0.541   -0.047
  32.263    3.305   25.275     0.913    1.448    0.868
   0.257    3.612   26.360     0.422    0.115   -0.286
   0.459    3.301   27.404     0.097   -1.009    0.232
   0.216    2.994   28.415     0.454   -0.198   -0.095
   0.368    2.563   29.417    -0.283   -0.684    0.004
   0.070    2.935   30.334     0.315   -0.620    1.155
   0.382    3.351   31.418     0.031    0.959    0.981
   0.065    4.402   32.065     0.965    1.131   -0.447
  32.222    4.519    1.140    -1.264   -1.920    0.871
  31.763    4.390    2.150    -1.136    0.360    0.097
   0.224    4.935    3.181     0.019   -0.199   -0.004
   0.207    4.430    4.612    -0.656    0.572    1.511
  32.072    4.552    6.026    -0.817   -1.281    0.426
   0.162    3.752    6.700     1.097   -1.000   -0.661
   0.051    4.051    8.159     1.063    0.082    0.410
  32.202    4.061    9.115    -0.787    0.604   -0.735
  32.052    4.845   10.037    -1.386   -0.240    0.529
   0.282    4.636   10.986    -0.755    0.284   -0.271
  32.102    3.532   11.803     0.343    0.596    0.389
   0.380    4.410   12.586    -0.841   -1.914   -0.855
   0.208    4.742   13.736     0.809   -0.048    1.206
  32.308    4.743   14.856    -1.241    1.584   -0.768
  32.053    4.032   15.660    -1.441    0.345   -1.483
  31.902    4.814   16.241    -0.157    2.228   -0.174
  32.087    4.697   17.307    -0.667    0.000    0.864
  32.219    4.295   18.590     0.555    1.412   -0.689
  32.299    4.232   19.985    -1.037    1.670   -1.396
  31.905    3.958   21.035    -2.117   -0.312    0.452
  31.881    3.967   22.316    -0.264    0.296    0.430
